home_team,away_team,date,home_team_box,away_team_box,pt20_scorers,pt30_scorers,pt40_scorers,pt50_scorers
ORL,MIA,2020-01-03,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '33', 'FGA': '81', 'FG%': '.407', '3P': '13', '3PA': '35', '3P%': '.371', 'FT': '26', 'FTA': '29', 'FT%': '.897', 'ORB': '7', 'DRB': '37', 'TRB': '44', 'AST': '25', 'STL': '11', 'BLK': '4', 'TOV': '10', 'PF': '17', 'PTS': '105', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '30', 'FGA': '80', 'FG%': '.375', '3P': '7', '3PA': '37', '3P%': '.189', 'FT': '18', 'FTA': '23', 'FT%': '.783', 'ORB': '10', 'DRB': '39', 'TRB': '49', 'AST': '16', 'STL': '7', 'BLK': '2', 'TOV': '18', 'PF': '20', 'PTS': '85', '+/-': nan}",2,0,0,0
WAS,POR,2020-01-03,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '90', 'FG%': '.422', '3P': '11', '3PA': '33', '3P%': '.333', 'FT': '16', 'FTA': '25', 'FT%': '.640', 'ORB': '14', 'DRB': '27', 'TRB': '41', 'AST': '19', 'STL': '5', 'BLK': '4', 'TOV': '12', 'PF': '28', 'PTS': '103', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '45', 'FGA': '88', 'FG%': '.511', '3P': '6', '3PA': '25', '3P%': '.240', 'FT': '26', 'FTA': '33', 'FT%': '.788', 'ORB': '11', 'DRB': '30', 'TRB': '41', 'AST': '16', 'STL': '6', 'BLK': '7', 'TOV': '7', 'PF': '21', 'PTS': '122', '+/-': nan}",4,2,0,0
HOU,PHI,2020-01-03,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '86', 'FG%': '.477', '3P': '12', '3PA': '32', '3P%': '.375', 'FT': '24', 'FTA': '32', 'FT%': '.750', 'ORB': '8', 'DRB': '38', 'TRB': '46', 'AST': '22', 'STL': '6', 'BLK': '3', 'TOV': '11', 'PF': '24', 'PTS': '118', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '92', 'FG%': '.457', '3P': '6', '3PA': '27', '3P%': '.222', 'FT': '18', 'FTA': '25', 'FT%': '.720', 'ORB': '10', 'DRB': '34', 'TRB': '44', 'AST': '32', 'STL': '7', 'BLK': '6', 'TOV': '11', 'PF': '22', 'PTS': '108', '+/-': nan}",4,1,1,0
PHO,NYK,2020-01-03,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '90', 'FG%': '.467', '3P': '10', '3PA': '28', '3P%': '.357', 'FT': '26', 'FTA': '33', 'FT%': '.788', 'ORB': '9', 'DRB': '39', 'TRB': '48', 'AST': '28', 'STL': '7', 'BLK': '3', 'TOV': '10', 'PF': '25', 'PTS': '120', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '92', 'FG%': '.446', '3P': '10', '3PA': '37', '3P%': '.270', 'FT': '20', 'FTA': '30', 'FT%': '.667', 'ORB': '13', 'DRB': '39', 'TRB': '52', 'AST': '19', 'STL': '7', 'BLK': '7', 'TOV': '15', 'PF': '26', 'PTS': '112', '+/-': nan}",3,1,0,0
LAL,NOP,2020-01-03,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '43', 'FGA': '86', 'FG%': '.500', '3P': '14', '3PA': '29', '3P%': '.483', 'FT': '23', 'FTA': '28', 'FT%': '.821', 'ORB': '8', 'DRB': '39', 'TRB': '47', 'AST': '29', 'STL': '9', 'BLK': '4', 'TOV': '12', 'PF': '14', 'PTS': '123', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '48', 'FGA': '102', 'FG%': '.471', '3P': '11', '3PA': '37', '3P%': '.297', 'FT': '6', 'FTA': '7', 'FT%': '.857', 'ORB': '9', 'DRB': '31', 'TRB': '40', 'AST': '24', 'STL': '4', 'BLK': '10', 'TOV': '11', 'PF': '20', 'PTS': '113', '+/-': nan}",4,1,1,0
LAC,MEM,2020-01-04,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '45', 'FGA': '101', 'FG%': '.446', '3P': '7', '3PA': '30', '3P%': '.233', 'FT': '17', 'FTA': '22', 'FT%': '.773', 'ORB': '14', 'DRB': '35', 'TRB': '49', 'AST': '20', 'STL': '3', 'BLK': '1', 'TOV': '13', 'PF': '22', 'PTS': '114', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '49', 'FGA': '96', 'FG%': '.510', '3P': '18', '3PA': '39', '3P%': '.462', 'FT': '24', 'FTA': '28', 'FT%': '.857', 'ORB': '11', 'DRB': '43', 'TRB': '54', 'AST': '36', 'STL': '8', 'BLK': '10', 'TOV': '9', 'PF': '23', 'PTS': '140', '+/-': nan}",7,0,0,0
ORL,UTA,2020-01-04,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '85', 'FG%': '.447', '3P': '11', '3PA': '37', '3P%': '.297', 'FT': '9', 'FTA': '12', 'FT%': '.750', 'ORB': '9', 'DRB': '37', 'TRB': '46', 'AST': '21', 'STL': '6', 'BLK': '5', 'TOV': '10', 'PF': '12', 'PTS': '96', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '93', 'FG%': '.452', '3P': '16', '3PA': '40', '3P%': '.400', 'FT': '9', 'FTA': '14', 'FT%': '.643', 'ORB': '14', 'DRB': '37', 'TRB': '51', 'AST': '22', 'STL': '3', 'BLK': '3', 'TOV': '8', 'PF': '10', 'PTS': '109', '+/-': nan}",3,1,0,0
ATL,IND,2020-01-04,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '82', 'FG%': '.512', '3P': '10', '3PA': '32', '3P%': '.313', 'FT': '22', 'FTA': '24', 'FT%': '.917', 'ORB': '4', 'DRB': '36', 'TRB': '40', 'AST': '22', 'STL': '8', 'BLK': '4', 'TOV': '13', 'PF': '28', 'PTS': '116', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '36', 'FGA': '87', 'FG%': '.414', '3P': '10', '3PA': '27', '3P%': '.370', 'FT': '29', 'FTA': '35', 'FT%': '.829', 'ORB': '13', 'DRB': '26', 'TRB': '39', 'AST': '24', 'STL': '8', 'BLK': '4', 'TOV': '11', 'PF': '24', 'PTS': '111', '+/-': nan}",3,1,1,0
CLE,OKC,2020-01-04,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '39', 'FGA': '85', 'FG%': '.459', '3P': '14', '3PA': '30', '3P%': '.467', 'FT': '14', 'FTA': '17', 'FT%': '.824', 'ORB': '9', 'DRB': '33', 'TRB': '42', 'AST': '19', 'STL': '4', 'BLK': '0', 'TOV': '13', 'PF': '26', 'PTS': '106', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '43', 'FGA': '96', 'FG%': '.448', '3P': '14', '3PA': '37', '3P%': '.378', 'FT': '21', 'FTA': '26', 'FT%': '.808', 'ORB': '18', 'DRB': '34', 'TRB': '52', 'AST': '24', 'STL': '6', 'BLK': '4', 'TOV': '11', 'PF': '16', 'PTS': '121', '+/-': nan}",3,0,0,0
CHI,BOS,2020-01-04,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '34', 'FGA': '80', 'FG%': '.425', '3P': '13', '3PA': '34', '3P%': '.382', 'FT': '23', 'FTA': '31', 'FT%': '.742', 'ORB': '11', 'DRB': '26', 'TRB': '37', 'AST': '23', 'STL': '15', 'BLK': '5', 'TOV': '15', 'PF': '22', 'PTS': '104', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '43', 'FGA': '82', 'FG%': '.524', '3P': '8', '3PA': '19', '3P%': '.421', 'FT': '17', 'FTA': '21', 'FT%': '.810', 'ORB': '13', 'DRB': '31', 'TRB': '44', 'AST': '22', 'STL': '10', 'BLK': '5', 'TOV': '19', 'PF': '22', 'PTS': '111', '+/-': nan}",3,1,0,0
